id,word,explanation,char_count;;;;;;;;;;;;;;;;;;;;;;;;;
"425,bobos,""berlubang besar karena sobek, pecah, dan sebagainya";" dol: belum dapat dipastikan sebab-sebab kecelakaan itu, apakah remnya blong atau supirnya mengantuk"",5";;;;;;;;;;;;;;;;;;;;;;;;
430,bolak-balik,verba (kata kerja) berulang-aling pergi dan pulang;" bocor besar"",5";;;;;;;;;;;;;;;;;;;;;;;;
432,bonafide,dapat dipercaya dengan baik (tentang perusahaan dan sebagainya) ; berulang kali bergerak dari satu arah ke arah lain;;;;;;;;;;;;;;;;;;;;;;;;
436,bonto,sudah tidak segar lagi (tentang ikan): jangan membeli ikan bonto,5; jujur: perusahaan itu tidak bonafide,8;;;;;;;;;;;;;;;;;;;;;;;;
441,bopok,cakapan (tidak baku) (1) rusak;; (2) berkenaan dengan kedua sisi kertas dan sebagainya: ktp itu difotokopi bolak-balik agar menghemat kertas; (3) verba (kata kerja) berputar balik (tentang perkataan): katakan terus terang jangan bolak-balik,11;;;;;;;;;;;;;;;;;;;;;;
"442,boros,""(1) berlebih-lebihan dalam pemakaian uang, barang, dan sebagainya: orang yang hidupnya boros tak akan menjadi kaya"; tidak terpakai lagi;;;;;;;;;;;;;;;;;;;;;;;;
443,bosan,sudah tidak suka lagi karena sudah terlalu sering atau banyak; (2) lepas, terurai (tentang tali yang dikaitkan): tali gasingnya boros;;;;;;;;;;;;;;;;;;;;;;;;
444,bosor,berlubang tembus; jemu: aku sudah bosan dengan pidato-pidato itu,5; (2) lemah sekali (tentang badan),5;;;;;;;;;;;;;;;;;;;;;;;
445,botak,(1) tidak berambut (tentang kepala orang); pecah (sobek) hingga berlubang (bocor): goni itu bosor sehingga isinya tertuang keluar,5;" (3) banyak dalam pemakaian tenaga, bensin, dan sebagainya (tentang mesin dan sebagainya) : mobilnya boros bensin"",5";;;;;;;;;;;;;;;;;;;;;;;
448,boyas,arkais (tidak lazim) buncit; gundul;;;;;;;;;;;;;;;;;;;;;;;;
455,budek,cakapan (tidak baku) tuli,5; gendut;;;;;;;;;;;;;;;;;;;;;;;;
456,bugar,sehat dan segar (tentang badan),5;; (2) tidak berbulu (tentang kepala binatang),5;;;;;;;;;;;;;;;;;;;;;;;
457,bujal,(1) tersembul;; berdus,5;;;;;;;;;;;;;;;;;;;;;;;
"458,bujut,""arkais (tidak lazim) kusut (benang, rambut, dan sebagainya) "",5"; tersempal (seperti pusat);;;;;;;;;;;;;;;;;;;;;;;;
459,bukan,lancung;;;;;;;;;;;;;;;;;;;;;;;;;
460,bukat,kotor; gadungan: pemimpin bukan,5; (2) tumpul,5;;;;;;;;;;;;;;;;;;;;;;;
462,bulat,(1) berbentuk sebagai bola: bumi ini bulat bentuknya; hitam;;;;;;;;;;;;;;;;;;;;;;;;
463,buluk,kotor karena debu,5; (2) berbentuk lingkaran;;;;;;;;;;;;;;;;;;;;;;;;
"474,busuk,""(1) rusak dan berbau tidak sedap (tentang buah, daging, dan sebagainya) : mangga itu sudah busuk";; becek,5;;;;;;;;;;;;;;;;;;;;;;;
475,butek,keruh,5; (2) berbau tidak sedap (tentang bangkai dan sebagainya) : bangkai tikus itu busuk benar baunya; bundar (tanpa bersudut): meja bulat yang besar itu cocok untuk meja makan; (3) tidak terpecah; utuh: bilangan bulat; (4) tanpa kecuali: usul itu diterima rapat dengan suara bulat; (5) seia sekata; sepenuhnya: rapat secara bulat menolak usul itu,5;;;;;;;;;;;;;;;;;;
"478,cabar,""arkais (tidak lazim) (1) hilang dayanya";;;;;;;;;;;;;;;;;;;;;;;;;
"479,cabik,""koyak (robek, sobek) panjang"",5"; tidak manjur (tentang guna-guna dan sebagainya) : keampuhan aji-aji itu akan cabar manakala terdengar ayam berkokok; (3) buruk; jelek; tidak menyenangkan: kepala daerah itu sudah mendapat nama busuk;" (4) istilah biologi penyakit yang ditandai dengan penghancuran jaringan sebagai hasil kegiatan jamur atau bakteri"",5";;;;;;;;;;;;;;;;;;;;
